GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900007,25,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,9,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,5,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,29,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,9,27,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,11,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,49,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,6,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,28,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,193,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,11,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,22,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,214,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,58,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,0,20191023,MIA,MEM
Shot Chart Detail,0021900007,218,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,53,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,7,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,225,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,0,176,1,0,20191023,MIA,MEM
Shot Chart Detail,0021900007,656,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,8,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,11,1,0,20191023,MIA,MEM
Shot Chart Detail,0021900007,671,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,133,243,1,0,20191023,MIA,MEM
Shot Chart Detail,0021900007,709,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,5,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,49,197,1,0,20191023,MIA,MEM
Shot Chart Detail,0021900007,723,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,37,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,21,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,738,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,25,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,25,1,0,20191023,MIA,MEM
Shot Chart Detail,0021900020,25,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,10,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-155,247,1,1,20191025,MEM,CHI
