season_id,nba_stats_player_id,player_name,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_points,dd2,td3,cfid,cfparams
2019-20,203932,Aaron Gordon,1610612753,ORL,24.0,62,30,32,0.484,32.5,5.4,12.4,0.437,1.2,3.8,0.308,2.4,3.6,0.674,1.7,5.9,7.7,3.7,1.6,0.8,0.6,0.7,2.0,3.3,14.4,-1.1,31.9,20,1,5,"203932,1610612753"
2019-20,1628988,Aaron Holiday,1610612754,IND,23.0,66,42,24,0.636,24.5,3.5,8.5,0.414,1.3,3.3,0.394,1.1,1.3,0.851,0.3,2.0,2.4,3.4,1.3,0.8,0.2,0.4,1.8,1.7,9.5,1.7,19.3,3,0,5,"1628988,1610612754"
2019-20,1627846,Abdel Nader,1610612760,OKC,26.0,55,37,18,0.673,15.8,2.2,4.8,0.468,0.9,2.3,0.375,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.8,0.4,0.4,0.2,1.4,0.9,6.3,-1.5,11.1,0,0,5,"1627846,1610612760"
2019-20,1629690,Adam Mokoka,1610612741,CHI,21.0,11,3,8,0.273,10.2,1.1,2.5,0.429,0.5,1.4,0.4,0.2,0.4,0.5,0.6,0.3,0.9,0.4,0.2,0.4,0.0,0.4,1.5,0.4,2.9,4.5,5.5,0,0,5,"1629690,1610612741"
2019-20,1629678,Admiral Schofield,1610612764,WAS,23.0,33,9,24,0.273,11.2,1.1,2.8,0.38,0.6,1.8,0.311,0.3,0.5,0.667,0.2,1.2,1.4,0.5,0.2,0.2,0.1,0.1,1.5,0.5,3.0,-1.7,6.3,0,0,5,"1629678,1610612764"
2019-20,201143,Al Horford,1610612755,PHI,34.0,67,39,28,0.582,30.2,4.8,10.6,0.45,1.5,4.2,0.35,0.9,1.2,0.763,1.5,5.3,6.8,4.0,1.2,0.8,0.9,0.4,2.1,1.4,11.9,1.9,30.0,6,0,5,"201143,1610612755"
2019-20,202329,Al-Farouq Aminu,1610612753,ORL,29.0,18,7,11,0.389,21.1,1.4,4.8,0.291,0.5,2.0,0.25,1.1,1.6,0.655,1.3,3.5,4.8,1.2,0.9,1.0,0.4,0.2,1.5,1.6,4.3,-1.9,15.3,1,0,5,"202329,1610612753"
2019-20,202692,Alec Burks,1610612755,PHI,28.0,66,21,45,0.318,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.6,4.0,0.887,0.7,3.5,4.3,2.9,1.4,0.9,0.3,0.7,1.9,3.2,15.0,-3.4,26.7,1,0,5,"202692,1610612755"
2019-20,1629346,Alen Smailagic,1610612744,GSW,19.0,14,1,13,0.071,9.9,1.4,2.9,0.5,0.2,0.9,0.231,1.1,1.4,0.842,0.7,1.2,1.9,0.9,0.8,0.2,0.3,0.1,1.0,1.4,4.2,-0.6,8.6,0,0,5,"1629346,1610612744"
2019-20,1627936,Alex Caruso,1610612747,LAL,26.0,64,48,16,0.75,18.4,1.9,4.5,0.412,0.6,1.9,0.333,1.1,1.5,0.734,0.3,1.7,1.9,1.9,0.8,1.1,0.3,0.4,1.5,1.7,5.5,3.8,14.0,0,0,5,"1627936,1610612747"
