PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
76001,Abdelnaby,Alaa,alaa-abdelnaby,1610612757.0,blazers,0,Portland,Trail Blazers,POR,30,F,6-10,240,Duke,USA,1990.0,1.0,25.0,,5.7,3.3,0.3,Career,1990,1994
76002,Abdul-Aziz,Zaid,zaid-abdul-aziz,1610612745.0,rockets,0,Houston,Rockets,HOU,54,C,6-9,235,Iowa State,USA,1968.0,1.0,5.0,,9.0,8.0,1.2,Career,1968,1977
76003,Abdul-Jabbar,Kareem,kareem-abdul-jabbar,1610612747.0,lakers,0,Los Angeles,Lakers,LAL,33,C,7-2,225,UCLA,USA,1969.0,1.0,1.0,,24.6,11.2,3.6,Career,1969,1988
51,Abdul-Rauf,Mahmoud,mahmoud-abdul-rauf,1610612743.0,nuggets,0,Denver,Nuggets,DEN,1,G,6-1,162,Louisiana State,USA,1990.0,1.0,3.0,,14.6,1.9,3.5,Career,1990,2000
1505,Abdul-Wahad,Tariq,tariq-abdul-wahad,1610612758.0,kings,0,Sacramento,Kings,SAC,9,F-G,6-6,235,San Jose State,France,1997.0,1.0,11.0,,7.8,3.3,1.1,Career,1997,2003
949,Abdur-Rahim,Shareef,shareef-abdur-rahim,1610612763.0,grizzlies,0,Memphis,Grizzlies,MEM,3,F,6-9,245,California,USA,1996.0,1.0,3.0,,18.1,7.5,2.5,Career,1996,2007
76005,Abernethy,Tom,tom-abernethy,1610612744.0,warriors,0,Golden State,Warriors,GSW,5,F,6-7,220,Indiana,USA,1976.0,3.0,43.0,,5.6,3.2,1.2,Career,1976,1980
76006,Able,Forest,forest-able,1610612755.0,sixers,0,Philadelphia,76ers,PHI,6,G,6-3,180,Western Kentucky,USA,1956.0,,,,0.0,1.0,1.0,Career,1956,1956
76007,Abramovic,John,john-abramovic,1610610031.0,,1,Pittsburgh,Ironmen,PIT,,F,6-3,195,Salem,USA,,,,,9.5,,0.7,Career,1946,1947
203518,Abrines,Alex,alex-abrines,1610612760.0,thunder,0,Oklahoma City,Thunder,OKC,8,G,6-6,190,FC Barcelona,Spain,2013.0,2.0,32.0,,5.3,1.4,0.5,Career,2016,2018
1630173,Achiuwa,Precious,precious-achiuwa,1610612748.0,heat,0,Miami,Heat,MIA,5,F,6-8,225,Memphis,Nigeria,2020.0,1.0,20.0,1.0,5.9,3.9,0.6,Season,2020,2020
101165,Acker,Alex,alex-acker,1610612746.0,clippers,0,LA,Clippers,LAC,3,G,6-5,185,Pepperdine,USA,2005.0,2.0,60.0,,2.7,1.0,0.5,Career,2005,2008
76008,Ackerman,Donald,donald-ackerman,1610612752.0,knicks,0,New York,Knicks,NYK, ,G,6-0,183,Long Island-Brooklyn,USA,1953.0,2.0,,,1.5,0.5,0.8,Career,1953,1953
76009,Acres,Mark,mark-acres,1610612753.0,magic,0,Orlando,Magic,ORL,42,C,6-11,220,Oral Roberts,USA,1985.0,2.0,40.0,,3.6,4.1,0.5,Career,1987,1992
76010,Acton,Charles,charles-acton,1610612745.0,rockets,0,Houston,Rockets,HOU,24,F,6-6,210,Hillsdale,USA,,,,,3.3,2.0,0.5,Career,1967,1967
203112,Acy,Quincy,quincy-acy,1610612758.0,kings,0,Sacramento,Kings,SAC,13,F,6-7,240,Baylor,USA,2012.0,2.0,37.0,,4.9,3.5,0.6,Career,2012,2018
76011,Adams,Alvan,alvan-adams,1610612756.0,suns,0,Phoenix,Suns,PHX,33,C,6-9,210,Oklahoma,USA,1975.0,1.0,4.0,,14.1,7.0,4.1,Career,1975,1987
76012,Adams,Don,don-adams,1610612765.0,pistons,0,Detroit,Pistons,DET,10,F,6-7,210,Northwestern,USA,1970.0,8.0,120.0,,8.7,5.6,1.8,Career,1970,1976
200801,Adams,Hassan,hassan-adams,1610612751.0,nets,0,Brooklyn,Nets,BKN,8,F,6-4,220,Arizona,USA,2006.0,2.0,54.0,,2.5,1.2,0.2,Career,2006,2008
1629121,Adams,Jaylen,jaylen-adams,1610612749.0,bucks,0,Milwaukee,Bucks,MIL,6,G,6-0,225,St. Bonaventure,USA,,,,1.0,0.3,0.4,0.3,Season,2018,2020
203919,Adams,Jordan,jordan-adams,1610612763.0,grizzlies,0,Memphis,Grizzlies,MEM,3,G,6-5,209,UCLA,USA,2014.0,1.0,22.0,,3.2,0.9,0.6,Career,2014,2015
149,Adams,Michael,michael-adams,1610612743.0,nuggets,0,Denver,Nuggets,DEN,23,G,5-10,165,Boston College,USA,1985.0,3.0,66.0,,14.7,2.9,6.4,Career,1985,1995
203500,Adams,Steven,steven-adams,1610612740.0,pelicans,0,New Orleans,Pelicans,NOP,12,C,6-11,265,Pittsburgh,New Zealand,2013.0,1.0,12.0,1.0,8.3,9.1,2.2,Season,2013,2020
912,Addison,Rafael,rafael-addison,1610612751.0,nets,0,Brooklyn,Nets,BKN,7,F,6-8,241,Syracuse,USA,1986.0,2.0,39.0,,5.8,2.1,0.9,Career,1986,1996
1628389,Adebayo,Bam,bam-adebayo,1610612748.0,heat,0,Miami,Heat,MIA,13,C-F,6-9,255,Kentucky,USA,2017.0,1.0,14.0,1.0,19.6,9.6,5.5,Season,2017,2020
1629061,Adel,Deng,deng-adel,1610612739.0,cavaliers,0,Cleveland,Cavaliers,CLE,32,F,6-7,200,Louisville,South Sudan,,,,,1.7,1.0,0.3,Career,2018,2018
76015,Adelman,Rick,rick-adelman,1610612757.0,blazers,0,Portland,Trail Blazers,POR,5,G,6-2,175,Loyola-Marymount,USA,1968.0,7.0,79.0,,7.7,2.4,3.5,Career,1968,1974
202399,Adrien,Jeff,jeff-adrien,1610612766.0,hornets,0,Charlotte,Hornets,CHA,12,F,6-7,245,Connecticut,USA,,,,,4.6,4.3,0.7,Career,2010,2014
201167,Afflalo,Arron,arron-afflalo,1610612753.0,magic,0,Orlando,Magic,ORL,4,G,6-5,210,UCLA,USA,2007.0,1.0,27.0,,10.8,2.9,1.8,Career,2007,2017
200772,Ager,Maurice,maurice-ager,1610612742.0,mavericks,0,Dallas,Mavericks,DAL,13,F-G,6-5,202,Michigan State,USA,2006.0,1.0,28.0,,2.1,0.6,0.2,Career,2006,2010
76016,Aguirre,Mark,mark-aguirre,1610612742.0,mavericks,0,Dallas,Mavericks,DAL,7,F,6-6,232,DePaul,USA,1981.0,1.0,1.0,,20.0,5.0,3.1,Career,1981,1993
201336,Ahearn,Blake,blake-ahearn,1610612748.0,heat,0,Miami,Heat,MIA,2,G,6-2,190,Missouri State,USA,,,,,4.6,1.2,1.2,Career,2007,2011
76017,Ainge,Danny,danny-ainge,1610612738.0,celtics,0,Boston,Celtics,BOS,22,G,6-5,175,Brigham Young,USA,1981.0,2.0,31.0,,11.5,2.7,4.0,Career,1981,1994
201582,Ajinca,Alexis,alexis-ajinca,1610612740.0,pelicans,0,New Orleans,Pelicans,NOP,42,C,7-2,248,Hyeres-Toulon,France,2008.0,1.0,20.0,,5.3,3.9,0.5,Career,2008,2017
76018,Akin,Henry,henry-akin,1610612752.0,knicks,0,New York,Knicks,NYK,10,C,6-10,225,Morehead State,USA,1966.0,2.0,11.0,,3.5,2.1,0.5,Career,1966,1967
203006,Akognon,Josh,josh-akognon,1610612742.0,mavericks,0,Dallas,Mavericks,DAL,10,G,5-11,185,California State-Fullerton,USA,,,,,1.7,0.3,0.3,Career,2012,2012
1629152,Akoon-Purcell,DeVaughn,devaughn-akoon-purcell,,,1,,,,44,G,6-5,201,Illinois State,Trinidad and Tobago,,,,,1.0,0.6,0.9,Career,2018,2018
