name,x,y,make,zone
Ja Morant,-27,5,1,2
Ja Morant,18,11,1,2
Ja Morant,3,28,1,2
Ja Morant,-14,22,1,2
Ja Morant,-2,21,0,2
Ja Morant,43,7,1,2
Ja Morant,0,176,0,2
Ja Morant,29,11,0,2
Ja Morant,133,243,0,3
Ja Morant,49,197,0,2
Ja Morant,13,21,1,2
Ja Morant,-27,25,0,2
Ja Morant,-155,247,1,3
Ja Morant,5,1,1,2
Ja Morant,16,-3,0,2
Ja Morant,2,6,0,2
Ja Morant,0,16,0,2
Ja Morant,51,182,0,2
Ja Morant,-10,5,0,2
Ja Morant,0,-6,1,2
Ja Morant,-16,8,0,2
Ja Morant,46,68,1,2
Ja Morant,-14,148,1,2
Ja Morant,78,247,0,3
Ja Morant,-92,186,0,2
Ja Morant,-2,-3,1,2
Ja Morant,-16,4,1,2
Ja Morant,62,116,1,2
Ja Morant,-14,11,0,2
Ja Morant,-70,73,0,2
Ja Morant,-14,8,1,2
Ja Morant,-9,3,1,2
Ja Morant,-67,64,0,2
Ja Morant,0,-6,0,2
Ja Morant,-3,14,1,2
Ja Morant,-63,248,1,3
Ja Morant,8,10,1,2
Ja Morant,2,3,1,2
Ja Morant,-30,21,0,2
Ja Morant,-4,6,1,2
Ja Morant,-101,46,1,2
Ja Morant,-15,1,0,2
Ja Morant,11,34,0,2
Ja Morant,-11,40,0,2
Ja Morant,116,266,0,3
Ja Morant,7,89,0,2
Ja Morant,-13,85,1,2
Ja Morant,17,25,0,2
Ja Morant,228,11,1,3
Ja Morant,-11,32,0,2
Ja Morant,92,243,0,3
Ja Morant,-68,79,1,2
Ja Morant,-9,54,1,2
Ja Morant,84,75,0,2
Ja Morant,3,8,1,2
Ja Morant,3,28,1,2
Ja Morant,18,8,1,2
Ja Morant,136,207,0,3
Ja Morant,-60,100,0,2
Ja Morant,5,190,0,2
Ja Morant,102,151,0,2
Ja Morant,55,106,0,2
Ja Morant,109,262,1,3
Ja Morant,16,14,1,2
Ja Morant,6,13,1,2
Ja Morant,8,27,0,2
Ja Morant,71,67,1,2
Ja Morant,161,195,1,3
Ja Morant,6,6,1,2
Ja Morant,12,14,1,2
Ja Morant,-2,5,1,2
Ja Morant,-14,6,0,2
Ja Morant,-94,34,0,2
Ja Morant,-53,79,1,2
Ja Morant,6,5,1,2
Ja Morant,0,-6,1,2
Ja Morant,55,101,0,2
Ja Morant,131,211,1,3
Ja Morant,1,4,1,2
Ja Morant,-99,148,1,2
Ja Morant,0,12,0,2
Ja Morant,-12,10,1,2
Ja Morant,-9,267,0,3
Ja Morant,84,6,0,2
Ja Morant,-6,6,1,2
Ja Morant,8,0,1,2
Ja Morant,-40,67,1,2
Ja Morant,-7,4,0,2
Ja Morant,73,45,0,2
Ja Morant,13,6,1,2
Ja Morant,-44,152,0,2
Ja Morant,-33,8,1,2
Ja Morant,-11,10,0,2
Ja Morant,2,42,0,2
Ja Morant,31,16,0,2
Ja Morant,-28,28,1,2
Ja Morant,-33,75,0,2
Ja Morant,3,126,0,2
Ja Morant,18,32,1,2
Ja Morant,26,12,0,2
Ja Morant,0,-6,0,2
Ja Morant,-7,11,1,2
Ja Morant,70,127,1,2
Ja Morant,86,38,1,2
Ja Morant,-40,44,0,2
Ja Morant,-29,63,1,2
Ja Morant,24,10,1,2
Ja Morant,-37,42,0,2
Ja Morant,-22,46,0,2
Ja Morant,-13,168,1,2
Ja Morant,-67,109,0,2
Ja Morant,78,210,1,2
Ja Morant,9,21,0,2
Ja Morant,5,13,1,2
Ja Morant,5,28,0,2
Ja Morant,3,137,0,2
Ja Morant,-6,7,0,2
Ja Morant,42,215,0,2
Ja Morant,223,10,0,3
Ja Morant,15,17,0,2
Ja Morant,-141,209,0,3
Ja Morant,0,104,0,2
Ja Morant,3,25,0,2
Ja Morant,11,3,0,2
Ja Morant,-97,42,0,2
Ja Morant,-40,73,0,2
Ja Morant,114,218,1,3
Ja Morant,0,84,0,2
Ja Morant,2,8,0,2
Ja Morant,2,12,1,2
Ja Morant,226,46,0,3
Ja Morant,64,32,0,2
Ja Morant,-12,26,0,2
Ja Morant,-6,31,1,2
Ja Morant,-28,7,1,2
Ja Morant,13,13,1,2
Ja Morant,10,11,1,2
Ja Morant,228,40,1,3
Ja Morant,87,260,0,3
Ja Morant,14,48,0,2
Ja Morant,-29,14,1,2
Ja Morant,-5,8,1,2
Ja Morant,-3,11,1,2
Ja Morant,43,129,1,2
Ja Morant,83,19,0,2
Ja Morant,1,13,0,2
Ja Morant,-6,6,1,2
Ja Morant,-77,283,0,3
Ja Morant,15,6,0,2
Ja Morant,-16,13,0,2
Ja Morant,91,238,1,3
Ja Morant,92,243,1,3
Ja Morant,2,-1,1,2
Ja Morant,-34,97,0,2
Ja Morant,-9,0,1,2
Ja Morant,-6,17,1,2
Ja Morant,7,19,0,2
Ja Morant,-20,257,0,3
Ja Morant,93,57,0,2
Ja Morant,-5,20,1,2
Ja Morant,3,0,1,2
Ja Morant,52,63,1,2
Ja Morant,6,-6,0,2
Ja Morant,39,117,0,2
Ja Morant,-4,256,0,3
Ja Morant,-68,197,0,2
Ja Morant,7,10,1,2
Ja Morant,122,225,0,3
Ja Morant,-8,14,0,2
Ja Morant,-2,20,0,2
Ja Morant,5,4,1,2
Ja Morant,-49,250,1,3
Ja Morant,-15,0,0,2
Ja Morant,-68,56,0,2
Ja Morant,-16,4,1,2
Ja Morant,-9,-4,1,2
Ja Morant,-4,13,0,2
Ja Morant,106,243,0,3
Ja Morant,78,243,0,3
Ja Morant,3,4,1,2
Ja Morant,-8,8,0,2
Ja Morant,-35,-4,0,2
Ja Morant,-62,56,1,2
Ja Morant,27,21,0,2
Ja Morant,-2,110,0,2
Ja Morant,-15,78,1,2
Ja Morant,127,163,0,2
Ja Morant,114,145,0,2
Ja Morant,-192,96,1,2
Ja Morant,60,200,0,2
Ja Morant,-39,62,0,2
Ja Morant,8,-4,0,2
Ja Morant,21,4,0,2
Ja Morant,127,228,0,3
Ja Morant,-46,97,1,2
Ja Morant,-229,4,1,3
Ja Morant,-7,10,1,2
Ja Morant,13,12,0,2
Ja Morant,-225,-10,1,3
Ja Morant,5,-4,1,2
Ja Morant,-2,6,1,2
Ja Morant,1,151,1,2
Ja Morant,-96,5,1,2
