id,Player,height,weight,college,born,birth_city,birth_state
0,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana
1,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky
2,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho
3,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania
4,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey
5,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana
6,Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan
7,Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York
8,Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma
9,Carl Braun,196,81,Colgate University,1927,Brooklyn,New York
10,Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana
11,Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas
12,Bob Brown,193,92,Miami University,1923,Versailles,Ohio
13,Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey
14,Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey
15,Bill Calhoun,190,81,City College of San Francisco,1927,San Francisco,California
16,Don Carlson,183,77,University of Minnesota,1919,Minneapolis,Minnesota
17,Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana
18,Bill Closs,196,88,Rice University,1922,Edge,Texas
19,Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky
20,Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana
21,Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee
22,Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania
23,Fran Curran,183,79,University of Notre Dame,1922,Sterling,Illinois
24,Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania
25,Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia
26,Bob Doll,196,88,University of Colorado,1919,Steamboat Springs,Colorado
27,Harry Donovan,188,81,Muhlenberg College,1926,Union City,New Jersey
28,Dike Eddleman,190,85,University of Illinois at Urbana-Champaign,1922,Centralia,Illinois
29,Gene Englund,196,92,University of Wisconsin,1917,Kenosha,Wisconsin
30,Bob Evans,188,79,Butler University,1925,Indianapolis,Indiana
31,Johnny Ezersky,190,79,University of Rhode Island,1922,New York,New York
32,Bob Feerick,190,86,Santa Clara University,1920,San Francisco,California
33,Arnie Ferrin,188,81,University of Utah,1925,Salt Lake City,Utah
34,Jerry Fleishman,188,86,New York University,1922,Brooklyn,New York
35,Joe Fulks*,196,86,Murray State University,1921,Birmingham,Kentucky
36,Elmer Gainer,198,88,DePaul University,1918,Chicago,Illinois
37,Harry Gallatin*,198,95,Truman State University,1927,Roxana,Illinois
38,Vern Gardner,196,90,University of Utah,1925,Afton,Wyoming
39,Bud Grant,190,88,University of Minnesota,1927,Superior,Wisconsin
40,Don Grate,188,83,Ohio State University,1923,Greenfield,Ohio
41,Alex Groza,201,98,University of Kentucky,1926,Martins Ferry,Ohio
42,Chick Halbert,206,102,West Texas A&M University,1919,Albany,Texas
43,Bruce Hale,185,77,Santa Clara University,1918,Medford,Oregon
44,Alex Hannum*,201,95,University of Southern California,1923,Los Angeles,California
45,John Hargis,188,81,University of Texas at Austin,1920,Nacogdoches,Texas
46,Bob Harris,201,88,Oklahoma State University,1927,Linden,Tennessee
47,Bob Harrison,201,88,Oklahoma State University,1927,Linden,Tennessee
48,Marshall Hawkins,190,92,University of Tennessee,1924,Huntington,West Virginia
49,Bill Henry,206,97,Rice University,1924,Dallas,Texas
50,Kleggie Hermsen,206,102,University of Minnesota,1923,Hill City,Minnesota
51,Sonny Hertzberg,178,79,City College of New York,1922,Brooklyn,New York
52,Red Holzman*,178,79,City College of New York,1920,Brooklyn,New York
53,Gene James,193,81,Marshall University,1925,Ironton,Ohio
54,Tony Jaros,190,83,University of Minnesota,1920,Minneapolis,Minnesota
55,Buddy Jeannette*,180,79,Washington & Jefferson College,1917,New Kensington,Pennsylvania
56,Arnie Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota
57,George Kaftan,190,86,College of the Holy Cross,1928,New York,New York
58,Bob Kinney,198,97,Rice University,1920,Fort Scott,Kansas
59,Walt Kirk,190,78,University of Illinois at Urbana-Champaign,1924,Mount Vernon,Illinois
60,Leo Klier,188,77,University of Notre Dame,1923,Washington,Indiana
61,Duane Klueh,190,79,Indiana State University,1926,Bottineau,North Dakota
62,Lee Knorek,201,97,University of Detroit Mercy,1921,Warsaw,Poland
63,Tony Lavelli,190,83,Yale University,1926,Somerville,Massachusetts
64,Andrew Levane,188,86,St. John's University,1920,Brooklyn,New York
65,Freddie Lewis,188,88,Eastern Kentucky University,1921,Brooklyn,New York
66,John Logan,188,79,Indiana University,1921,Richmond,Indiana
67,Ray Lumpp,185,80,New York University,1923,Brooklyn,New York
68,Ed Macauley*,203,83,Saint Louis University,1928,St. Louis,Missouri
69,John Mahnken,203,99,Georgetown University,1922,New Jersey,New Jersey
70,John Mandic,193,92,Oregon State University,1919,Los Angeles,California
71,Slater Martin*,178,77,University of Texas at Austin,1925,El Mina,Texas
72,Ariel Maughan,193,86,Utah State University,1923,Salt Lake City,Utah
73,Matt Mazza,190,95,Michigan State University,1923,Niagara Falls,New York
74,Dick McGuire*,183,81,St. John's University,1926,Huntington,New York
75,Bones McKinney,198,83,University of North Carolina,1919,Lowlands,North Carolina
76,George Mikan*,208,111,DePaul University,1924,Joliet,Illinois
77,Vern Mikkelsen*,201,104,Hamline University,1928,Fresno,California
78,Joe Mullaney,183,74,College of the Holy Cross,1925,Long Island,New York
79,Jerry Nagel,183,86,Loyola University of Chicago,1928,Chicago,Illinois
80,Richie Niemiera,185,74,University of Notre Dame,1921,Chicago,Illinois
81,Paul Noel,193,83,University of Kentucky,1924,Midway,Kentucky
82,Jim Nolan,203,95,Georgia Institute of Technology,1927,Macon,Georgia
83,Johnny Norlander,190,81,Hamline University,1921,Virginia,Minnesota
84,George Nostrand,203,88,University of Wyoming,1924,Uniondale,New York
85,Mike Novak,206,99,Loyola University of Chicago,1915,Chicago,Illinois
86,Dick O'Keefe,188,83,Santa Clara University,1923,San Francisco,California
87,John Oldham,190,79,Western Kentucky University,1923,Beaver Dam,Kentucky
88,Gene Ollrich,180,72,Drake University,1922,Whiting,Indiana
89,Johnny Orr,190,88,Beloit College,1927,Yale,Kansas
90,Don Otten,208,108,Bowling Green State University,1921,Bellefontaine,Ohio
91,Mac Otten,201,99,Bowling Green State University,1925,Bellefontaine,Ohio
92,Easy Parham,190,90,Texas Wesleyan University,1921,Fort Worth,Texas
93,Jack Parkinson,183,78,University of Kentucky,1924,Yorktown,Indiana
94,Warren Perkins,190,86,Tulane University,1922,New Orleans,Louisiana
95,Jack Phelan,196,88,DePaul University,1925,Chicago,Illinois
96,Andy Phillip*,188,88,University of Illinois at Urbana-Champaign,1922,Granite City,Illinois
97,Jim Pollard*,193,83,Stanford University,1922,Oakland,California
98,Don Ray,196,86,Western Kentucky University,1921,Mt. Juliet,Tennessee
99,Arnie Risen*,206,90,Ohio State University,1924,Williamstown,Kentucky
100,Tex Ritter,188,83,Eastern Kentucky University,1924,Richmond,Kentucky
101,Bill Roberts,206,95,University of Wyoming,1925,Fort Wayne,Indiana
102,Red Rocha,206,83,Oregon State University,1923,Hilo,Hawaii
103,Kenny Rollins,183,76,University of Kentucky,1923,Charlestown,Missouri
104,Jerry Rullo,178,74,Temple University,1923,Philadelphia,Pennsylvania
105,Ed Sadowski,196,108,Seton Hall University,1917,Johnstown,Pennsylvania
106,Kenny Sailors,178,79,University of Wyoming,1921,Bushnell,Nebraska
107,Herm Schaefer,183,79,Indiana University,1918,Fort Wayne,Indiana
108,Fred Schaus,196,92,West Virginia University,1925,Newark,Ohio
109,Dolph Schayes*,203,99,New York University,1928,New York,New York
110,Howie Schultz,198,90,Hamline University,1922,St. Paul,Minnesota
111,Dick Schulz,188,87,University of Wisconsin,1917,Racine,Wisconsin
112,Fred Scolari,178,81,University of San Francisco,1922,San Francisco,California
113,Wayne See,190,86,Northern Arizona University,1923,Clemenceau,Arizona
114,Rollie Seltz,178,74,Hamline University,1924,McIntosh,Minnesota
115,Jim Seminoff,188,86,University of Southern California,1922,Los Angelse,California
116,George Senesky,188,81,Saint Joseph's University,1922,Mahanoy City,Pennsylvania
117,Paul Seymour,185,81,University of Toledo,1928,Toledo,Ohio
118,Carl Shaeffer,190,83,University of Alabama,1924,Delphi,Indiana
119,Howie Shannon,188,79,Kansas State University,1923,Manhattan,Kansas
120,Belus Smawley,185,88,Appalachian State University,1918,Golden Valley,North Carolina
121,Jack Smiley,190,86,University of Illinois at Urbana-Champaign,1922,Sandwich,Illinois
122,Art Spector,193,90,Villanova University,1920,Philadelphia,Pennsylvania
123,Jack Toomay,198,97,University of the Pacific,1922,Ontario,California
124,Bob Tough,183,83,St. John's University,1920,New York,New York
125,Blackie Towery,193,95,Western Kentucky University,1920,Caldwell,Kentucky
126,Dick Triptow,183,77,DePaul University,1922,Chicago,Illinois
127,Ernie Vandeweghe,190,88,Colgate University,1928,Montreal,Canada
128,Floyd Volker,193,92,University of Wyoming,1921,Casper,Wyoming
129,Clint Wager,198,95,Saint Mary's University of Minnesota,1920,Winona,Minnesota
130,Brady Walker,198,92,Brigham Young University,1921,Provo,Utah
131,Paul Walther,188,72,University of Tennessee,1927,Covington,Kentucky
132,Bobby Wanzer*,183,77,Seton Hall University,1921,Brooklyn,New York
