player_id,Year,Pos,Age,Tm,G,TS%,FTr,OWS,DWS,WS,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,AST,PF,PTS
0,1950,SG,29,INO,49,0.435,0.387,1.6,0.6,2.2,102,274,0.372,102,274,0.372,0.372,75,106,0.708,109,99,279
0,1951,SG,30,INO,56,0.322,0.381,-0.9,0.7,-0.2,51,202,0.252,51,202,0.252,0.252,50,77,0.649,115,98,152
0,1952,SG,31,INO,44,0.343,0.317,-0.7,0.8,0.1,48,161,0.298,48,161,0.298,0.298,30,51,0.588,70,56,126
1,1950,G,22,INO,60,0.422,0.301,3.6,1.2,4.8,340,936,0.363,340,936,0.363,0.363,215,282,0.762,233,132,895
1,1951,G,23,INO,66,0.435,0.341,4.1,2.3,6.5,409,1110,0.368,409,1110,0.368,0.368,293,378,0.775,318,96,1111
2,1950,F-C,28,TOT,65,0.346,0.395,-2.2,5,2.8,226,813,0.278,226,813,0.278,0.278,209,321,0.651,163,273,661
2,1950,F-C,28,FTW,36,0.362,0.48,-0.7,2.2,1.5,125,435,0.287,125,435,0.287,0.287,132,209,0.632,75,140,382
2,1950,F-C,28,AND,29,0.326,0.296,-1.5,2.8,1.3,101,378,0.267,101,378,0.267,0.267,77,112,0.688,88,133,279
2,1952,F-C,30,MLH,13,0.234,0.387,-0.5,0.1,-0.4,6,31,0.194,6,31,0.194,0.194,5,12,0.417,9,31,17
3,1950,PG,25,PHW,57,0.396,0.528,0.4,1.3,1.8,80,248,0.323,80,248,0.323,0.323,82,131,0.626,46,97,242
3,1951,PG,26,PHW,53,0.384,0.5,0,1,1.1,52,158,0.329,52,158,0.329,0.329,44,79,0.557,82,83,148
3,1952,PG,27,PHW,62,0.42,0.546,0.7,0.4,1.2,110,306,0.359,110,306,0.359,0.359,99,167,0.593,168,182,319
3,1953,PG,28,PHW,55,0.441,0.509,1.2,0.8,2,119,318,0.374,119,318,0.374,0.374,105,162,0.648,192,161,343
4,1950,F-C,22,PHW,60,0.356,0.384,-0.7,1.5,0.8,88,305,0.289,88,305,0.289,0.289,78,117,0.667,40,111,254
5,1950,SF,22,NYK,59,0.426,0.445,2.6,1.4,3.9,204,600,0.34,204,600,0.34,0.34,204,267,0.764,95,203,612
5,1951,SF,23,NYK,66,0.485,0.383,6.4,1,7.4,352,867,0.406,352,867,0.406,0.406,278,332,0.837,182,244,982
5,1952,SF,24,NYK,42,0.437,0.22,1.2,0.9,2.1,202,522,0.387,202,522,0.387,0.387,96,115,0.835,90,121,500
5,1953,SF,25,NYK,66,0.435,0.293,1.4,2.2,3.6,254,686,0.37,254,686,0.37,0.37,165,201,0.821,166,226,673
