BBRefName,BBRefLink,BBRefID,BBRefBirthDate,NBAName,NBALink,NBAID,NBABirthDate,ESPNName,ESPNLink,ESPNID,ESPNBirthDate,SpotracName,SpotracLink,SpotracID
A.J. Hammons,https://www.basketball-reference.com/players/h/hammoaj01.html,hammoaj01,33843,AJ Hammons,https://stats.nba.com/player/1627773/,1627773,33843,AJ Hammons,http://www.espn.com/nba/player/_/id/2991178/aj-hammons,2991178,33843,A.J. Hammons,https://www.spotrac.com/redirect/player/20252/,20252
A.J. Price,https://www.basketball-reference.com/players/p/priceaj01.html,priceaj01,31692,AJ Price,https://stats.nba.com/player/201985/,201985,31692,A.J. Price,http://www.espn.com/nba/player/_/id/4010/aj-price,4010,31692,A.J. Price,https://www.spotrac.com/redirect/player/6292/,6292
Aaron Brooks,https://www.basketball-reference.com/players/b/brookaa01.html,brookaa01,31061,Aaron Brooks,https://stats.nba.com/player/201166/,201166,31061,Aaron Brooks,http://www.espn.com/nba/player/_/id/3192/aaron-brooks,3192,31061,Aaron Brooks,https://www.spotrac.com/redirect/player/2390/,2390
Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,gordoaa01,34958,Aaron Gordon,https://stats.nba.com/player/203932/,203932,34958,Aaron Gordon,http://www.espn.com/nba/player/_/id/3064290/aaron-gordon,3064290,34958,Aaron Gordon,https://www.spotrac.com/redirect/player/15356/,15356
Aaron Gray,https://www.basketball-reference.com/players/g/grayaa01.html,grayaa01,31023,Aaron Gray,https://stats.nba.com/player/201189/,201189,31023,Aaron Gray,http://www.espn.com/nba/player/_/id/3207/aaron-gray,3207,31023,Aaron Gray,https://www.spotrac.com/redirect/player/2244/,2244
Aaron Harrison,https://www.basketball-reference.com/players/h/harriaa01.html,harriaa01,34635,Aaron Harrison,https://stats.nba.com/player/1626151/,1626151,34635,Aaron Harrison,http://www.espn.com/nba/player/_/id/3064510/aaron-harrison,3064510,34635,Aaron Harrison,https://www.spotrac.com/redirect/player/18009/,18009
Aaron Holiday,https://www.basketball-reference.com/players/h/holidaa01.html,holidaa01,35338,Aaron Holiday,https://stats.nba.com/player/1628988/,1628988,35338,Aaron Holiday,http://www.espn.com/nba/player/_/id/3922230/aaron-holiday,3922230,35338,Aaron Holiday,https://www.spotrac.com/redirect/player/26989/,26989
Aaron Jackson,https://www.basketball-reference.com/players/j/jacksaa01.html,jacksaa01,31538,Aaron Jackson,https://stats.nba.com/player/1628935/,1628935,31538,Aaron Jackson,http://www.espn.com/nba/player/_/id/2198243/aaron-jackson,2198243,31538,Aaron Jackson,https://www.spotrac.com/redirect/player/25087/,25087
Abdel Nader,https://www.basketball-reference.com/players/n/naderab01.html,naderab01,34237,Abdel Nader,https://stats.nba.com/player/1627846/,1627846,34237,Abdel Nader,http://www.espn.com/nba/player/_/id/2595435/abdel-nader,2595435,34237,Abdel Nader,https://www.spotrac.com/redirect/player/20264/,20264
Adam Morrison,https://www.basketball-reference.com/players/m/morriad01.html,morriad01,30882,Adam Morrison,https://stats.nba.com/player/200747/,200747,30882,NA,NA,NA,NA,Adam Morrison,https://www.spotrac.com/redirect/player/2234/,2234
Adonis Thomas,https://www.basketball-reference.com/players/t/thomaad01.html,thomaad01,34053,Adonis Thomas,https://stats.nba.com/player/203519/,203519,34053,Adonis Thomas,http://www.espn.com/nba/player/_/id/2595274/adonis-thomas,2595274,34053,Adonis Thomas,https://www.spotrac.com/redirect/player/13593/,13593
Adreian Payne,https://www.basketball-reference.com/players/p/paynead01.html,paynead01,33288,Adreian Payne,https://stats.nba.com/player/203940/,203940,33288,Adreian Payne,http://www.espn.com/nba/player/_/id/2531100/adreian-payne,2531100,33288,Adreian Payne,https://www.spotrac.com/redirect/player/15367/,15367
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,aminual01,33137,Al-Farouq Aminu,https://stats.nba.com/player/202329/,202329,33137,Al-Farouq Aminu,http://www.espn.com/nba/player/_/id/4248/al-farouq-aminu,4248,33137,Al-Farouq Aminu,https://www.spotrac.com/redirect/player/6890/,6890
Al Harrington,https://www.basketball-reference.com/players/h/harrial01.html,harrial01,29268,Al Harrington,https://stats.nba.com/player/1733/,1733,29268,Al Harrington,http://www.espn.com/nba/player/_/id/308/al-harrington,308,29268,Al Harrington,https://www.spotrac.com/redirect/player/2319/,2319
Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html,horfoal01,31566,Al Horford,https://stats.nba.com/player/201143/,201143,31566,Al Horford,http://www.espn.com/nba/player/_/id/3213/al-horford,3213,31566,Al Horford,https://www.spotrac.com/redirect/player/2199/,2199
Al Jefferson,https://www.basketball-reference.com/players/j/jeffeal01.html,jeffeal01,31051,Al Jefferson,https://stats.nba.com/player/2744/,2744,31051,Al Jefferson,http://www.espn.com/nba/player/_/id/2389/al-jefferson,2389,31051,Al Jefferson,https://www.spotrac.com/redirect/player/2579/,2579
Alan Anderson,https://www.basketball-reference.com/players/a/anderal01.html,anderal01,30240,Alan Anderson,https://stats.nba.com/player/101187/,101187,30240,Alan Anderson,http://www.espn.com/nba/player/_/id/6569/alan-anderson,6569,30240,Alan Anderson,https://www.spotrac.com/redirect/player/9261/,9261
Alan Williams,https://www.basketball-reference.com/players/w/willial03.html,willial03,33997,Alan Williams,https://stats.nba.com/player/1626210/,1626210,33997,Alan Williams,http://www.espn.com/nba/player/_/id/2579326/alan-williams,2579326,33997,Alan Williams,https://www.spotrac.com/redirect/player/18820/,18820
Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,burksal01,33439,Alec Burks,https://stats.nba.com/player/202692/,202692,33439,Alec Burks,http://www.espn.com/nba/player/_/id/6429/alec-burks,6429,33439,Alec Burks,https://www.spotrac.com/redirect/player/8063/,8063
Alec Peters,https://www.basketball-reference.com/players/p/peteral01.html,peteral01,34802,Alec Peters,https://stats.nba.com/player/1628409/,1628409,34802,Alec Peters,http://www.espn.com/nba/player/_/id/3062897/alec-peters,3062897,34802,Alec Peters,https://www.spotrac.com/redirect/player/23655/,23655
